year,datebegin,City,Country,Station area,Station type,AQI
2563,19/2/2563,Sofia,Bulgaria,Urban,Background,24.3
2563,20/2/2563,Sofia,Bulgaria,Urban,Background,21
2563,5/3/2563,Sofia,Bulgaria,Urban,Background,12.8
2563,6/3/2563,Sofia,Bulgaria,Urban,Background,28.4
2563,7/3/2563,Sofia,Bulgaria,Urban,Background,19.9
2563,8/3/2563,Sofia,Bulgaria,Urban,Background,9.7
2563,9/3/2563,Sofia,Bulgaria,Urban,Background,15.5
2563,10/3/2563,Sofia,Bulgaria,Urban,Background,11.8
2563,13/3/2563,Sofia,Bulgaria,Urban,Background,21.1
2563,14/3/2563,Sofia,Bulgaria,Urban,Background,11.7
2563,15/3/2563,Sofia,Bulgaria,Urban,Background,9
2563,16/3/2563,Sofia,Bulgaria,Urban,Background,10.1
2563,17/3/2563,Sofia,Bulgaria,Urban,Background,21.3
2563,18/3/2563,Sofia,Bulgaria,Urban,Background,14.7
2563,19/3/2563,Sofia,Bulgaria,Urban,Background,20.3
2563,22/3/2563,Sofia,Bulgaria,Urban,Background,20.9
2563,23/3/2563,Sofia,Bulgaria,Urban,Background,9.9
2563,24/3/2563,Sofia,Bulgaria,Urban,Background,9.1
2563,25/3/2563,Sofia,Bulgaria,Urban,Background,10.8
2563,26/3/2563,Sofia,Bulgaria,Urban,Background,7.5
2563,27/3/2563,Sofia,Bulgaria,Urban,Background,17
2563,28/3/2563,Sofia,Bulgaria,Urban,Background,24.1
2564,24/3/2564,Sofia,Bulgaria,Urban,Background,9.2
2564,25/3/2564,Sofia,Bulgaria,Urban,Background,14.5
2564,26/3/2564,Sofia,Bulgaria,Urban,Background,24.4
2564,27/3/2564,Sofia,Bulgaria,Urban,Background,31.6
2564,28/3/2564,Sofia,Bulgaria,Urban,Background,29.4
2564,29/3/2564,Sofia,Bulgaria,Urban,Background,7.1
2564,30/3/2564,Sofia,Bulgaria,Urban,Background,8.9
2564,31/3/2564,Sofia,Bulgaria,Urban,Background,18.6
2564,1/4/2564,Sofia,Bulgaria,Urban,Background,19
2564,2/4/2564,Sofia,Bulgaria,Urban,Background,17
2564,3/4/2564,Sofia,Bulgaria,Urban,Background,15.9
2564,4/4/2564,Sofia,Bulgaria,Urban,Background,8.4
2564,5/4/2564,Sofia,Bulgaria,Urban,Background,12.1
2564,6/4/2564,Sofia,Bulgaria,Urban,Background,11.8
2564,7/4/2564,Sofia,Bulgaria,Urban,Background,6.4
2564,8/4/2564,Sofia,Bulgaria,Urban,Background,8.2
2564,9/4/2564,Sofia,Bulgaria,Urban,Background,10.2
2564,10/4/2564,Sofia,Bulgaria,Urban,Background,17.6
2564,11/4/2564,Sofia,Bulgaria,Urban,Background,15.9
2564,12/4/2564,Sofia,Bulgaria,Urban,Background,17.1
2564,13/4/2564,Sofia,Bulgaria,Urban,Background,15.5
2564,14/4/2564,Sofia,Bulgaria,Urban,Background,3.9
2564,15/4/2564,Sofia,Bulgaria,Urban,Background,6.7
2564,16/4/2564,Sofia,Bulgaria,Urban,Background,7.2
2564,17/4/2564,Sofia,Bulgaria,Urban,Background,11.2
2564,18/4/2564,Sofia,Bulgaria,Urban,Background,15.9
2564,19/4/2564,Sofia,Bulgaria,Urban,Background,10.2
2564,20/4/2564,Sofia,Bulgaria,Urban,Background,11.8
2564,21/4/2564,Sofia,Bulgaria,Urban,Background,8.9
2564,22/4/2564,Sofia,Bulgaria,Urban,Background,9.1
2564,23/4/2564,Sofia,Bulgaria,Urban,Background,9.6
2564,24/4/2564,Sofia,Bulgaria,Urban,Background,9.2
2564,25/4/2564,Sofia,Bulgaria,Urban,Background,11
2564,26/4/2564,Sofia,Bulgaria,Urban,Background,10.3
2564,27/4/2564,Sofia,Bulgaria,Urban,Background,10.7
2564,28/4/2564,Sofia,Bulgaria,Urban,Background,15.4
2564,29/4/2564,Sofia,Bulgaria,Urban,Background,14.8
2564,30/4/2564,Sofia,Bulgaria,Urban,Background,13.2
2564,1/5/2564,Sofia,Bulgaria,Urban,Background,12.6
2564,2/5/2564,Sofia,Bulgaria,Urban,Background,9.6
2564,3/5/2564,Sofia,Bulgaria,Urban,Background,5.9
2564,4/5/2564,Sofia,Bulgaria,Urban,Background,6.5
2564,5/5/2564,Sofia,Bulgaria,Urban,Background,10.8
2564,6/5/2564,Sofia,Bulgaria,Urban,Background,5.3
2564,7/5/2564,Sofia,Bulgaria,Urban,Background,7.4
2564,8/5/2564,Sofia,Bulgaria,Urban,Background,4.7
2564,9/5/2564,Sofia,Bulgaria,Urban,Background,4.8
2564,10/5/2564,Sofia,Bulgaria,Urban,Background,7.6
2564,11/5/2564,Sofia,Bulgaria,Urban,Background,9
2564,12/5/2564,Sofia,Bulgaria,Urban,Background,11.7
2564,13/5/2564,Sofia,Bulgaria,Urban,Background,14.1
2564,14/5/2564,Sofia,Bulgaria,Urban,Background,3.3
2564,15/5/2564,Sofia,Bulgaria,Urban,Background,8.7
2564,16/5/2564,Sofia,Bulgaria,Urban,Background,6.5
2564,17/5/2564,Sofia,Bulgaria,Urban,Background,11
2564,18/5/2564,Sofia,Bulgaria,Urban,Background,2.6
2564,19/5/2564,Sofia,Bulgaria,Urban,Background,6.9
2564,20/5/2564,Sofia,Bulgaria,Urban,Background,3.3
2564,21/5/2564,Sofia,Bulgaria,Urban,Background,4.5
2564,22/5/2564,Sofia,Bulgaria,Urban,Background,8.7
2564,23/5/2564,Sofia,Bulgaria,Urban,Background,9
2564,24/5/2564,Sofia,Bulgaria,Urban,Background,8.2
2564,25/5/2564,Sofia,Bulgaria,Urban,Background,14.8
2564,26/5/2564,Sofia,Bulgaria,Urban,Background,17.1
2564,27/5/2564,Sofia,Bulgaria,Urban,Background,14.1
2564,28/5/2564,Sofia,Bulgaria,Urban,Background,10.7
2564,29/5/2564,Sofia,Bulgaria,Urban,Background,4.8
2564,30/5/2564,Sofia,Bulgaria,Urban,Background,5.8
2564,31/5/2564,Sofia,Bulgaria,Urban,Background,5.8
2564,1/6/2564,Sofia,Bulgaria,Urban,Background,4.7
2564,2/6/2564,Sofia,Bulgaria,Urban,Background,5.1
2564,3/6/2564,Sofia,Bulgaria,Urban,Background,6.6
2564,4/6/2564,Sofia,Bulgaria,Urban,Background,8.8
2564,5/6/2564,Sofia,Bulgaria,Urban,Background,10.5
2564,6/6/2564,Sofia,Bulgaria,Urban,Background,12.6
2564,7/6/2564,Sofia,Bulgaria,Urban,Background,17.5
2564,8/6/2564,Sofia,Bulgaria,Urban,Background,8.8
2564,9/6/2564,Sofia,Bulgaria,Urban,Background,7.8
2564,10/6/2564,Sofia,Bulgaria,Urban,Background,7.8
2564,11/6/2564,Sofia,Bulgaria,Urban,Background,7.8
2564,12/6/2564,Sofia,Bulgaria,Urban,Background,7.2
2564,13/6/2564,Sofia,Bulgaria,Urban,Background,6.7
2564,14/6/2564,Sofia,Bulgaria,Urban,Background,4.7
2564,15/6/2564,Sofia,Bulgaria,Urban,Background,4.5
2564,16/6/2564,Sofia,Bulgaria,Urban,Background,6.7
2564,17/6/2564,Sofia,Bulgaria,Urban,Background,8.5
2564,18/6/2564,Sofia,Bulgaria,Urban,Background,7.4
2564,19/6/2564,Sofia,Bulgaria,Urban,Background,8.6
2564,20/6/2564,Sofia,Bulgaria,Urban,Background,4.5
2564,21/6/2564,Sofia,Bulgaria,Urban,Background,7.5
2564,22/6/2564,Sofia,Bulgaria,Urban,Background,15
2564,23/6/2564,Sofia,Bulgaria,Urban,Background,18.1
